g_m,g_T,g_r,g_q,g_sigma,g_amercall_fde
0.251308717,0.528657534,0.037488191,0.041403192,0.166741886,0.748691283
2.250054874,0.701260274,0.016336301,0.033842512,0.858650329,0.063555376
2.233670955,0.087671233,0.035477021,0.024211018,1.007494402,0.000482003
1.955737438,1.698520548,0.079977445,0.032629686,0.505120276,0.081636749
1.860262713,0.010958904,0.008733409,0.038880207,1.345917843,2.10E-07
4.267289462,1.698520548,0.038991009,0.006989623,1.192484528,0.258592067
4.35469374,0.528657534,0.076346899,0.041999187,0.158415901,0
3.666420442,0.049315068,0.06781673,0.026623474,0.187473087,0
3.490888732,1.449205479,0.015640805,0.014366232,0.728114581,0.051916401
4.866694123,0.701260274,0.049988816,0.045595128,1.272634434,0.062353033
1.559026644,0.106849315,0.079380821,0.003130046,1.197740962,0.032115189
1.042926865,2.043835616,0.074517883,0.005874134,0.929230966,0.511882397
4.376577705,0.126027397,0.053103425,0.00487709,0.054818552,0
4.891607651,0.451945205,0.064937227,0.018126701,1.504665526,0.051761195
2.118231094,0.126027397,0.006178087,0.017754744,1.205606407,0.009717481
2.7417196,0.030136986,0.076899795,0.031960092,0.051003966,0
2.157498991,1.046575342,0.002928718,0.041999481,0.67380895,0.056504378
1.274793998,0.010958904,0.053005505,0.03821812,1.961791594,0.01345905
4.860892361,0.202630137,0.061543662,0.032271867,1.18722985,0.000483457
3.915031618,1.046575342,0.054629043,0.016303306,1.612568209,0.308146043
1.512454283,0.528657534,0.016982584,0.021580116,0.5887652,0.044868935
2.277689824,0.27660274,0.052406903,0.036683203,1.887818768,0.156663952
1.491192412,0.126027397,0.03996862,0.029761476,0.197878973,0
2.335681619,1.046575342,0.03176552,0.003246261,0.91929669,0.139496573
1.79475564,1.199890411,0.074459777,0.038895912,1.476031871,0.446166819
0.281085964,0.126027397,0.028005597,0.024444123,0.099360797,0.718914036
2.477206351,0.068493151,0.010387668,0.026033572,1.151172042,0.000170567
1.5030341,0.049315068,0.072481047,0.042881779,0.95772059,0.002795535
2.095475984,0.202630137,0.038486398,0.015059786,0.257260869,0
4.476252519,0.451945205,0.036421255,0.03516741,1.338392887,0.034114104
1.42701922,0.106849315,0.007223002,0.038469396,1.328764979,0.058601596
0.322393102,0.049315068,0.028813869,0.010033143,0.158415901,0.677606898
0.754263458,0.068493151,0.073406704,0.049738854,1.158224554,0.270679096
1.066268441,0.049315068,0.069473241,0.030716928,1.853887166,0.137893306
2.896990147,0.126027397,0.041762739,0.031085306,1.839049798,0.02317929
3.062111692,0.049315068,0.028620078,0.003173633,0.295160376,0
2.608325518,1.199890411,0.042238651,0.011461554,0.659490784,0.051535171
3.714996457,0.010958904,0.024006433,0.026992844,0.130951746,0
2.364243921,0.087671233,0.07756732,0.015629728,0.339026218,0
0.990922396,1.698520548,0.062139949,0.005874134,1.95793197,0.801477184
2.094597359,0.451945205,0.062098914,0.024316961,1.967121589,0.307110865
2.634116058,1.046575342,0.009832665,0.019787337,0.900058563,0.101255999
1.563685116,0.202630137,0.038649461,0.03821812,1.552942819,0.131030499
0.540089558,0.010958904,0.027832415,0.0131605,0.202764423,0.459930939
4.097001114,0.528657534,0.054550856,0.024262962,0.077100274,0
4.224847385,0.010958904,0.077468495,0.031594809,1.816085359,0
1.480549368,1.698520548,0.036407808,0.006055227,1.649244766,0.660954182
4.702845892,0.030136986,0.021251192,0.027470989,1.197740962,0
3.954944298,0.202630137,0.015913194,0.001624974,1.504665526,0.009765521
4.165585145,0.528657534,0.042548545,0.03890485,0.796546826,0.002480096
1.841315189,0.528657534,0.012252102,0.037746693,1.903318307,0.351951964
3.844608401,0.27660274,0.038766297,0.010434169,1.167793032,0.005759889
3.203512364,1.449205479,0.060418311,0.020497692,0.481419664,0.010165228
3.477796993,0.049315068,0.053357718,0.005665989,0.553926941,0
1.351562121,0.375232877,0.035840292,0.036185506,1.354817965,0.221884628
2.481565918,1.698520548,0.050027238,0.046262215,1.649244766,0.542702405
1.329131969,0.106849315,0.021157745,0.005569458,1.098013063,0.050242278
