g_m,g_T,g_r,g_q,g_sigma,g_eurocall,predict_ann,error_ann
4.976803205,0.756540566,0.071778525,0.044931971,0.99113848,0.02222125,0.024781058,0.002559807
4.221930398,1.868715029,0.077000767,0.046309105,0.306188525,9.42E-05,0.000185159,9.09E-05
2.534044634,0.37424861,0.058892623,0.0207348,0.997143197,0.027058566,0.034100626,0.00704206
1.802336319,1.395619163,0.01968316,0.040944857,0.916919935,0.228048821,0.22557,0.002478827
0.741416083,0.616631978,0.025142788,0.036530447,0.951392395,0.390317311,0.3767664,0.013550898
2.712657439,0.966813246,0.042859261,0.001719636,1.356773764,0.262814001,0.25878483,0.004029171
3.907051352,0.412687176,0.039764148,0.045746546,1.946604833,0.149212106,0.15359914,0.004387037
0.274438673,1.795056707,0.017121729,0.037921609,0.313822178,0.668143927,0.67004305,0.001899124
1.202671424,1.779805707,0.01968316,0.043133828,0.514708965,0.177234662,0.18536845,0.008133787
3.404213343,0.475474501,0.066501711,0.038114933,0.415975319,0,-0.000368171,0.000368171
1.850611043,0.438611593,0.023741259,0.008099616,1.356773764,0.170348286,0.16567937,0.004668921
2.583678039,1.98062791,0.038889552,0.010731153,1.990727665,0.740019859,0.7596828,0.019662916
0.586239221,0.187385552,0.065549233,0.006452559,0.228995684,0.419709115,0.4226767,0.002967597
4.161669272,0.807263713,0.001339276,0.008752211,1.92119566,0.321590999,0.3208606,0.000730404
4.918920766,1.204055483,0.056643036,0.027026782,1.085635434,0.099643137,0.09519595,0.004447188
3.094279404,1.335605483,0.066501711,0.031036989,1.516582983,0.38625466,0.38461718,0.00163748
2.543684279,0.38297451,0.038523713,0.016794519,1.909052699,0.208579359,0.22061172,0.012032363
1.40249658,0.753531304,0.007355158,0.017691983,1.771204915,0.473940213,0.469933,0.00400721
1.289144535,1.304675661,0.078670324,0.043251069,0.440875539,0.117598281,0.11519556,0.002402724
4.079761619,0.723722819,0.074406722,0.005393088,0.613428279,0.001463399,-0.000185995,0.001649394
1.738420246,1.572573124,0.069977729,0.016641589,1.971486726,0.710464181,0.7024277,0.008036496
1.284748581,0.426585096,0.050330264,0.048131179,0.664159881,0.083450581,0.07639565,0.007054928
0.200230457,0.611425772,0.055004425,0.0457011,0.595229288,0.778848605,0.7339294,0.044919209
1.661244669,1.403455743,0.069065729,0.049480858,1.710198377,0.56943344,0.5788368,0.009403359
1.406373801,1.472111096,0.068860147,0.015810814,1.960552303,0.716858939,0.7193323,0.002473339
1.868634056,0.844330501,0.039103285,0.013460635,1.765308732,0.448067121,0.44369933,0.004367791
1.335794168,0.02505074,0.030344179,0.011724898,1.216524175,0.00647792,0.029083278,0.022605358
0.452189337,1.137765162,0.021483123,0.031103072,1.110665787,0.631133381,0.6303128,0.00082058
4.171225903,1.431486592,0.02757876,0.044798328,0.680891416,0.022074512,0.025338748,0.003264237
1.84433668,1.51270202,0.024044652,0.018318151,0.759463095,0.180999533,0.16963768,0.011361853
0.938846926,1.974736184,0.074662411,0.012719141,1.699756726,0.769023326,0.7604245,0.008598831
2.538632356,0.529310332,0.028854764,0.002425099,1.494165308,0.174806734,0.17189787,0.002908861
3.236129025,1.144643273,0.033653221,0.048798407,0.765024433,0.04282825,0.04493969,0.00211144
1.152638842,0.414693008,0.054567489,0.010713421,0.603913252,0.106085828,0.09946685,0.006618975
